Event,Year,Overall Position,Rider,Race Style,Cap,Gender,Result,Nationality,Bike,Finish Time,Finish Time - Minutes,Notes
Iditarod Trail Invitational (1000) 2000,2000,1,Mike Curiak,SOLO,,MEN,FINISHED,,,15d 1h 15m,21675,
Iditarod Trail Invitational (1000) 2000,2000,2,Jon Kirschke,SOLO,,MEN,FINISHED,,,15d 5h 0m,21900,
Iditarod Trail Invitational (1000) 2000,2000,3,Greg Blackwell,SOLO,,MEN,FINISHED,,,15d 9h 0m,22140,
Iditarod Trail Invitational (1000) 2000,2000,4,Pat Norwill,SOLO,,MEN,FINISHED,,,16d 23h 0m,24420,
Iditarod Trail Invitational (1000) 2000,2000,5,John Stamstad,SOLO,,MEN,FINISHED,,,18d 4h 30m,26190,
Iditarod Trail Invitational (1000) 2000,2000,6,Mike Madden,SOLO,,MEN,FINISHED,,,18d 4h 30m,26190,
Iditarod Trail Invitational (1000) 2000,2000,7,Sam Newbury,SOLO,,MEN,FINISHED,,,21d 8h 0m,30720,
Iditarod Trail Invitational (1000) 2000,2000,8,Dave Norona,SOLO,,MEN,FINISHED,,,33d 4h 30m,47790,
Iditarod Trail Invitational (1000) 2000,2000,9,Kevin Vallely,SOLO,,MEN,FINISHED,,,33d 4h 30m,47790,
Iditarod Trail Invitational (1000) 2000,2000,10,Janine Duplessis,SOLO,,MEN,FINISHED,,,41d 10h 30m,59670,
Iditarod Trail Invitational (1000) 2000,2000,11,John Wagner,SOLO,,MEN,FINISHED,,,41d 10h 30m,59670,
Iditarod Trail Invitational (1000) 2000,2000,12,Andy Stearns,SOLO,,MEN,FINISHED,,,44d 0h 0m,63360,
Iditarod Trail Invitational (1000) 2001,2001,1,Andy Heading,SOLO,,MEN,FINISHED,,,26d 5h 7m,37747,
Iditarod Trail Invitational (1000) 2001,2001,2,Mike Estes,SOLO,,MEN,FINISHED,,,26d 5h 7m,37747,
Iditarod Trail Invitational (1000) 2001,2001,3,Tim Hewitt,SOLO,,MEN,FINISHED,,,26d 20h 46m,38686,
Iditarod Trail Invitational (1000) 2001,2001,4,Tom Jarding,SOLO,,MEN,FINISHED,,,26d 20h 46m,38686,
Iditarod Trail Invitational (1000) 2002,2002,1,Mike Curiak,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,17d 2h 0m,24600,
Iditarod Trail Invitational (1000) 2002,2002,2,Andy Heading,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,18d 4h 0m,26160,
Iditarod Trail Invitational (1000) 2002,2002,4,Mike Madden,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,18d 4h 0m,26160,
Iditarod Trail Invitational (1000) 2002,2002,3,Alan Sheldon,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,18d 24h 0m,27360,
Iditarod Trail Invitational (1000) 2002,2002,5,Eris Zama,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,19d 6h 30m,27750,
Iditarod Trail Invitational (1000) 2002,2002,6,Maurizio Doro,SOLO,,MEN,FINISHED,Italy,,19d 6h 30m,27750,
Iditarod Trail Invitational (1000) 2002,2002,7,Roberto Ghidoni,SOLO,,MEN,FINISHED,,FOOT,22d 6h 6m,32046,
Iditarod Trail Invitational (1000) 2004,2004,1,Tim Hewitt,SOLO,,MEN,FINISHED,,,23d 22h 10m,34450,
Iditarod Trail Invitational (1000) 2005,2005,1,Carl Hutchings,SOLO,,MEN,FINISHED,,,22d 0h 47m,31727,
Iditarod Trail Invitational (1000) 2005,2005,2,Dimitri Kieffer,SOLO,,MEN,FINISHED,,,37d 0h 0m,53280,
Iditarod Trail Invitational (1000) 2006,2006,1,Wilko van der Akker,SOLO,,MEN,FINISHED,,,26d 10h 4m,38044,
Iditarod Trail Invitational (1000) 2006,2006,2,Marco Berni,SOLO,,MEN,FINISHED,,,30d 21h 0m,44460,
Iditarod Trail Invitational (1000) 2007,2007,1,Jan Kopka,SOLO,,MEN,FINISHED,,,23d 2h 42m,33282,
Iditarod Trail Invitational (1000) 2007,2007,2,Jose Dundee,SOLO,,MEN,FINISHED,,,24d 3h 30m,34770,
Iditarod Trail Invitational (1000) 2008,2008,1,Peter Basinger,SOLO,,MEN,FINISHED,USA,,18d 4h 33m,26193,
Iditarod Trail Invitational (1000) 2008,2008,2,Carl Hutchings,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,18d 12h 30m,26670,
Iditarod Trail Invitational (1000) 2008,2008,3,Rok Kovac,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,18d 21h 20m,27200,
Iditarod Trail Invitational (1000) 2008,2008,4,Tim Hewitt,SOLO,,MEN,FINISHED,,FOOT,24d 6h 28m,34948,
Iditarod Trail Invitational (1000) 2008,2008,5,Kathi Merchant,SOLO,,WOMEN,FINISHED,,TRADITIONAL_GEARED,25d 12h 58m,36778,
Iditarod Trail Invitational (1000) 2008,2008,6,Bill Merchant,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,25d 12h 58m,36778,
Iditarod Trail Invitational (1000) 2009,2009,1,Tim Hewitt,SOLO,,MEN,FINISHED,,,25d 9h 29m,36569,
Iditarod Trail Invitational (1000) 2009,2009,2,Marco Berni,SOLO,,MEN,FINISHED,,,30d 12h 0m,43920,
Iditarod Trail Invitational (1000) 2010,2010,1,Phil Hofstetter,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,17d 9h 30m,25050,
Iditarod Trail Invitational (1000) 2010,2010,1,Jay Petervary,PAIR,,MEN,FINISHED,USA,,18d 6h 0m,26280,
Iditarod Trail Invitational (1000) 2010,2010,1,Tracey Petervary,PAIR,,WOMEN,FINISHED,USA,,18d 6h 0m,26280,
Iditarod Trail Invitational (1000) 2010,2010,2,Tom Jarding,SOLO,,MEN,FINISHED,,FOOT,20d 14h 45m,29685,
Iditarod Trail Invitational (1000) 2010,2010,3,Tim Hewitt,SOLO,,MEN,FINISHED,,FOOT,22d 4h 15m,31935,
Iditarod Trail Invitational (1000) 2011,2011,1,Jay Petervary,SOLO,,MEN,FINISHED,USA,,17d 6h 0m,24840,
Iditarod Trail Invitational (1000) 2011,2011,2,Aidan Harding,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,17d 9h 15m,25035,
Iditarod Trail Invitational (1000) 2011,2011,3,Tracey Petervary,SOLO,,WOMEN,FINISHED,USA,,18d 6h 30m,26310,
Iditarod Trail Invitational (1000) 2011,2011,4,Tim Hewitt,SOLO,,MEN,FINISHED,,FOOT,20d 7h 17m,29237,
Iditarod Trail Invitational (1000) 2011,2011,5,Jerym Brunton,SOLO,,MEN,FINISHED,,FOOT,27d 0h 0m,38880,
Iditarod Trail Invitational (1000) 2014,2014,1,Jeff Oatley,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,10d 2h 53m,14573,
Iditarod Trail Invitational (1000) 2014,2014,2,Aidan Harding,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,11d 4h 15m,16095,
Iditarod Trail Invitational (1000) 2014,2014,3,Phil Hofstetter,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,12d 6h 0m,17640,
Iditarod Trail Invitational (1000) 2014,2014,4,Pavel Richtr,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,12d 21h 34m,18574,
Iditarod Trail Invitational (1000) 2014,2014,5,Jan Kopka,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,13d 5h 40m,19060,
Iditarod Trail Invitational (1000) 2014,2014,6,Bob Ostrom,SOLO,,MEN,FINISHED,USA,,16d 20h 30m,24270,
Iditarod Trail Invitational (1000) 2014,2014,6,RJ Sauer,SOLO,,MEN,FINISHED,CANADA,,16d 20h 30m,24270,
Iditarod Trail Invitational (1000) 2014,2014,6,Andrew Heading,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,16d 20h 30m,24270,
Iditarod Trail Invitational (1000) 2014,2014,9,Sebastiano Favaro,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,17d 6h 25m,24865,
Iditarod Trail Invitational (1000) 2014,2014,9,Ausilia Vistarini,SOLO,,WOMEN,FINISHED,,TRADITIONAL_GEARED,17d 6h 25m,24865,
Iditarod Trail Invitational (1000) 2014,2014,11,John Logar,SOLO,,MEN,FINISHED,USA,,23d 23h 10m,34510,
Iditarod Trail Invitational (1000) 2014,2014,12,Beat Jegerlehner,SOLO,,MEN,FINISHED,Switzerland,,25d 12h 52m,36772,
Iditarod Trail Invitational (1000) 2014,2014,13,Donald Kane,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,26d 5h 0m,37740,
Iditarod Trail Invitational (1000) 2014,2014,14,Tim Hewitt,SOLO,,MEN,FINISHED,,FOOT,26d 6h 59m,37859,
Iditarod Trail Invitational (1000) 2014,2014,14,Loreen Hewitt,SOLO,,WOMEN,FINISHED,,FOOT,26d 6h 59m,37859,
Iditarod Trail Invitational (1000) 2014,2014,16,Shawn McTaggart,SOLO,,MEN,FINISHED,,FOOT,28d 17h 30m,41370,
HOPE 1000 2015,2015,1,Christian Jakob,SOLO,,MEN,FINISHED,Switzerland,,5d 5h 8m,7508,
HOPE 1000 2015,2015,2,Sämi Burkart,SOLO,,MEN,FINISHED,Switzerland,,5d 15h 29m,8129,
HOPE 1000 2015,2015,3,Reto Koller,SOLO,,MEN,FINISHED,Switzerland,,6d 5h 9m,8949,
HOPE 1000 2015,2015,4,Stefan Maertens,SOLO,,MEN,FINISHED,Belgium,,6d 6h 20m,9020,
HOPE 1000 2015,2015,5,Maurizio Doro,SOLO,,MEN,FINISHED,Italy,,6d 6h 34m,9034,
HOPE 1000 2015,2015,6,Markus Meier,SOLO,,MEN,FINISHED,Switzerland,,6d 10h 41m,9281,
HOPE 1000 2015,2015,7,Alan Goldsmith,SOLO,,MEN,FINISHED,UK,,6d 11h 15m,9315,
HOPE 1000 2015,2015,8,Marcus Brennenstuhl,SOLO,,MEN,FINISHED,Germany,,6d 17h 45m,9705,
HOPE 1000 2015,2015,9,David Gilbert,SOLO,,MEN,FINISHED,Germany,,6d 17h 45m,9705,
HOPE 1000 2015,2015,10,Christian Spindler,SOLO,,MEN,FINISHED,Germany,,6d 17h 45m,9705,
HOPE 1000 2015,2015,11,Dries Brouckaert,ITT,,MEN,FINISHED,Belgium,,6d 20h 20m,9860,
HOPE 1000 2015,2015,12,Simone Cussigh,SOLO,,MEN,FINISHED,Italy,,7d 5h 35m,10415,
HOPE 1000 2015,2015,13,Heinz Frühwirt,SOLO,,MEN,FINISHED,Switzerland,,7d 6h 42m,10482,
HOPE 1000 2015,2015,14,Hanspeter Ryf,SOLO,,MEN,FINISHED,Switzerland,,7d 6h 42m,10482,
HOPE 1000 2015,2015,15,Willi Felix,SOLO,,MEN,FINISHED,Switzerland,,7d 11h 49m,10789,
HOPE 1000 2015,2015,16,Josef Stenz,SOLO,,MEN,FINISHED,Switzerland,,7d 11h 49m,10789,
HOPE 1000 2015,2015,17,Markus Marmet,SOLO,,MEN,FINISHED,Switzerland,,8d 5h 21m,11841,
HOPE 1000 2015,2015,18,Markus Wenger,SOLO,,MEN,FINISHED,Switzerland,,8d 5h 21m,11841,
HOPE 1000 2015,2015,19,Urs Achermann,SOLO,,MEN,FINISHED,Switzerland,,8d 10h 39m,12159,
HOPE 1000 2015,2015,20,Guido Faden,SOLO,,MEN,FINISHED,Switzerland,,8d 10h 39m,12159,
HOPE 1000 2015,2015,21,Thomas Brunner,SOLO,,MEN,FINISHED,Switzerland,,9d 7h 55m,13435,
HOPE 1000 2015,2015,22,Beat Schnyder,SOLO,,MEN,FINISHED,Switzerland,,9d 8h 55m,13495,
HOPE 1000 2015,2015,23,Roland Ochsner,SOLO,,MEN,FINISHED,Switzerland,,9d 11h 20m,13640,
HOPE 1000 2015,2015,24,Martin Pauli,SOLO,,MEN,FINISHED,Switzerland,,12d 9h 9m,17829,
Iditarod Trail Invitational (1000) 2015,2015,1,Jeff Oatley,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,15d 6h 29m,21989,
Iditarod Trail Invitational (1000) 2015,2015,1,Jay Petervary,SOLO,,MEN,FINISHED,USA,,15d 6h 29m,21989,
Iditarod Trail Invitational (1000) 2015,2015,3,Phil Hofstetter,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,15d 23h 53m,23033,
Iditarod Trail Invitational (1000) 2015,2015,4,Pavel Richtr,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,18d 4h 59m,26219,
BC Epic 1000 2016,2016,1,Lennard Pretorius,SOLO,,MEN,FINISHED,,,4d 2h 45m,5925,
BC Epic 1000 2016,2016,2,Chip Andrus,SOLO,,MEN,FINISHED,,,4d 7h 32m,6212,
BC Epic 1000 2016,2016,3,Franck Gimard,SOLO,,MEN,FINISHED,,,4d 9h 36m,6336,
BC Epic 1000 2016,2016,4,Allan Knibbs,SOLO,,MEN,FINISHED,,,4d 10h 27m,6387,
BC Epic 1000 2016,2016,5,Ed Person,SOLO,,MEN,FINISHED,,,5d 6h 33m,7593,
HOPE 1000 2016,2016,1,Martin Vit,SOLO,,MEN,FINISHED,Czech Republic,,5d 9h 48m,7788,
HOPE 1000 2016,2016,2,Daniel Bringold,SOLO,,MEN,FINISHED,Switzerland,,5d 13h 22m,8002,
HOPE 1000 2016,2016,3,Bernhard Oser,SOLO,,MEN,FINISHED,Switzerland,,6d 5h 8m,8948,
HOPE 1000 2016,2016,4,Simon Villiger,SOLO,,MEN,FINISHED,Switzerland,,6d 9h 54m,9234,
BC Epic 1000 2016,2016,6,Brian Kennelly,SOLO,,MEN,FINISHED,,,6d 12h 39m,9399,
HOPE 1000 2016,2016,5,Tomas Ölveczky,SOLO,,MEN,FINISHED,Czech Republic,,6d 13h 52m,9472,
HOPE 1000 2016,2016,6,Petr Jiroušek,SOLO,,MEN,FINISHED,Czech Republic,,6d 13h 54m,9474,
HOPE 1000 2016,2016,7,Daniel Frank,SOLO,,MEN,FINISHED,Germany,,6d 16h 6m,9606,
HOPE 1000 2016,2016,8,Damian Hampen,SOLO,,MEN,FINISHED,Germany,,6d 16h 6m,9606,
HOPE 1000 2016,2016,9,Felix Mattli,SOLO,,MEN,FINISHED,Switzerland,,7d 1h 32m,10172,
HOPE 1000 2016,2016,10,Willi Felix,SOLO,,MEN,FINISHED,Switzerland,,7d 4h 48m,10368,
HOPE 1000 2016,2016,11,Matej Karasek,SOLO,,MEN,FINISHED,Czech Republic,,7d 4h 48m,10368,
BC Epic 1000 2016,2016,1,Geoff Huenemann,PAIR,,MEN,FINISHED,,,7d 9h 49m,10669,
BC Epic 1000 2016,2016,1,Dan Yancey,PAIR,,MEN,FINISHED,,,7d 9h 49m,10669,
HOPE 1000 2016,2016,12,Peter Amstutz,SOLO,,MEN,FINISHED,Switzerland,,7d 9h 59m,10679,
HOPE 1000 2016,2016,13,Steffen Harling,SOLO,,MEN,FINISHED,Switzerland,,7d 15h 39m,11019,
HOPE 1000 2016,2016,14,Jakub Sokola,SOLO,,MEN,FINISHED,Czech Republic,,8d 2h 20m,11660,
HOPE 1000 2016,2016,15,Mario Haering,SOLO,,MEN,FINISHED,Switzerland,,8d 6h 48m,11928,
HOPE 1000 2016,2016,16,Roland Ochsner,SOLO,,MEN,FINISHED,Switzerland,,9d 10h 28m,13588,
BC Epic 1000 2016,2016,7,Rob Purdy,SOLO,,MEN,FINISHED,,,10d 3h 0m,14580,
Iditarod Trail Invitational (1000) 2016,2016,1,Phil Hofstetter,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,11d 5h 15m,16155,
Iditarod Trail Invitational (1000) 2016,2016,2,Bill Fleming,SOLO,,MEN,FINISHED,USA,,12d 8h 40m,17800,
Iditarod Trail Invitational (1000) 2016,2016,3,Kyle Amstadter,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,12d 8h 40m,17800,
Iditarod Trail Invitational (1000) 2016,2016,4,Jay Cable,SOLO,,MEN,FINISHED,USA,,12d 8h 40m,17800,
Iditarod Trail Invitational (1000) 2016,2016,5,Bob Ostrom,SOLO,,MEN,FINISHED,USA,,15d 8h 30m,22110,
Iditarod Trail Invitational (1000) 2016,2016,6,Jill Homer,SOLO,,WOMEN,FINISHED,USA,,17d 3h 46m,24706,
Iditarod Trail Invitational (1000) 2016,2016,7,Mike Beiergrohslein,SOLO,,MEN,FINISHED,USA,,17d 7h 47m,24947,
Iditarod Trail Invitational (1000) 2016,2016,8,Troy Szczurkowski,SOLO,,MEN,FINISHED,Australia,,18d 6h 59m,26339,
Iditarod Trail Invitational (1000) 2016,2016,9,Bill Dent,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,19d 4h 37m,27637,
Iditarod Trail Invitational (1000) 2016,2016,10,Donald Kane,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,19d 4h 37m,27637,
Iditarod Trail Invitational (1000) 2016,2016,11,Tim Hewitt,SOLO,,MEN,FINISHED,,FOOT,19d 9h 38m,27938,
Iditarod Trail Invitational (1000) 2016,2016,12,Beat Jegerlehner,SOLO,,MEN,FINISHED,Switzerland,,24d 3h 59m,34799,
Iditarod Trail Invitational (1000) 2016,2016,13,Eric Johnson,SOLO,,MEN,FINISHED,USA,,25d 18h 24m,37104,
Iditarod Trail Invitational (1000) 2016,2016,14,Klaus Schweinberger,SOLO,,MEN,FINISHED,,FOOT,29d 23h 7m,43147,
BC Epic 1000 2017,2017,1,Lennard Pretorius,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,3d 15h 41m,5261,
BC Epic 1000 2017,2017,2,Dean Anderson,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,3d 22h 0m,5640,
BC Epic 1000 2017,2017,3,Troy Hopwood,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,4d 9h 46m,6346,
BC Epic 1000 2017,2017,4,Jeff Mullen,SOLO,,MEN,FINISHED,USA,,4d 13h 20m,6560,
BC Epic 1000 2017,2017,5,Rod Dagneau,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,4d 14h 11m,6611,
BC Epic 1000 2017,2017,6,Ken D’Albertanson,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,4d 18h 31m,6871,
BC Epic 1000 2017,2017,7,Bart Slotman,SOLO,,MEN,FINISHED,CANADA,,5d 1h 50m,7310,
BC Epic 1000 2017,2017,1,Eric Ross,PAIR,,MEN,FINISHED,,TRADITIONAL_GEARED,5d 7h 40m,7660,
BC Epic 1000 2017,2017,1,Dace Simpson,PAIR,,MEN,FINISHED,,TRADITIONAL_GEARED,5d 7h 40m,7660,
HOPE 1000 2017,2017,1,Matthias Haussener,SOLO,,MEN,FINISHED,Switzerland,,5d 8h 15m,7695,
BC Epic 1000 2017,2017,8,Fred Menu,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,5d 9h 18m,7758,
BC Epic 1000 2017,2017,2,Miles Arbour,PAIR,,MEN,FINISHED,,TRADITIONAL_GEARED,5d 10h 40m,7840,
BC Epic 1000 2017,2017,2,Carl Miller,PAIR,,MEN,FINISHED,,TRADITIONAL_GEARED,5d 10h 40m,7840,
HOPE 1000 2017,2017,2,Thomas Strausz,SOLO,,MEN,FINISHED,Austria,,5d 13h 15m,7995,
BC Epic 1000 2017,2017,9,Diella Siemens,SOLO,,WOMEN,FINISHED,,TRADITIONAL_GEARED,6d 3h 30m,8850,
BC Epic 1000 2017,2017,10,Corrine Leistikow,SOLO,,WOMEN,FINISHED,,TRADITIONAL_GEARED,6d 4h 40m,8920,
HOPE 1000 2017,2017,3,Mark Lauzon,SOLO,,MEN,FINISHED,Switzerland,,6d 6h 35m,9035,
BC Epic 1000 2017,2017,3,Nigel Press,PAIR,,MEN,FINISHED,,TRADITIONAL_GEARED,6d 10h 42m,9282,
BC Epic 1000 2017,2017,3,Cheryl Lynch,PAIR,,WOMEN,FINISHED,,TRADITIONAL_GEARED,6d 10h 42m,9282,
HOPE 1000 2017,2017,4,Markus Birchler,SOLO,,MEN,FINISHED,Switzerland,,6d 17h 30m,9690,
HOPE 1000 2017,2017,5,Mario Badertscher,SOLO,,MEN,FINISHED,Switzerland,,7d 4h 11m,10331,
HOPE 1000 2017,2017,6,Sean Barker,SOLO,,MEN,FINISHED,South Africa,,7d 6h 49m,10489,
HOPE 1000 2017,2017,7,Riaan van Niekerk,SOLO,,MEN,FINISHED,South Africa,,7d 6h 49m,10489,
HOPE 1000 2017,2017,8,Efi Fallah,SOLO,,MEN,FINISHED,Israel,,7d 9h 28m,10648,
HOPE 1000 2017,2017,9,Werner Brunner,SOLO,,MEN,FINISHED,Switzerland,,7d 11h 0m,10740,
HOPE 1000 2017,2017,10,Ian MacNab,SOLO,,MEN,FINISHED,UK,,7d 11h 0m,10740,
HOPE 1000 2017,2017,11,Christoph Widmer,SOLO,,MEN,FINISHED,SWITZERLAND,,7d 12h 24m,10824,
HOPE 1000 2017,2017,12,Pius Koller,ITT,,MEN,FINISHED,Switzerland,,7d 17h 10m,11110,
HOPE 1000 2017,2017,13,Kurt-Aurel Stoessel,SOLO,,MEN,FINISHED,Switzerland,,8d 10h 24m,12144,
HOPE 1000 2017,2017,14,Radislav Zemandl,SOLO,,MEN,FINISHED,Czech Republic,,9d 5h 39m,13299,
HOPE 1000 2017,2017,15,Pablo Breitschmid,SOLO,,MEN,FINISHED,Switzerland,,9d 11h 29m,13649,
HOPE 1000 2017,2017,16,Peter Wattinger,SOLO,,MEN,FINISHED,Switzerland,,9d 13h 0m,13740,
HOPE 1000 2017,2017,17,Martin Rahn,SOLO,,MEN,FINISHED,Germany,,9d 18h 45m,14085,
HOPE 1000 2017,2017,18,Petr Krelina,SOLO,,MEN,FINISHED,Czech Republic,,9d 20h 45m,14205,
North Cape 4000 2017,2017,1,Paolo Laureti,SOLO,,MEN,FINISHED,Italy,,10d 23h 36m,15816,
HOPE 1000 2017,2017,19,Michael Heider,SOLO,,MEN,FINISHED,Germany,,11d 9h 25m,16405,
HOPE 1000 2017,2017,20,Iris Lambeck,SOLO,,WOMEN,FINISHED,Switzerland,,11d 9h 25m,16405,
HOPE 1000 2017,2017,21,Mathis Wallrabenstein,SOLO,,MEN,FINISHED,Switzerland,,11d 9h 25m,16405,
North Cape 4000 2017,2017,2,Alexandre Bourgeonnier,SOLO,,MEN,FINISHED,France,,11d 9h 51m,16431,
North Cape 4000 2017,2017,3,Eric Cupo,SOLO,,MEN,FINISHED,France,,11d 15h 46m,16786,
North Cape 4000 2017,2017,4,Rudy Rollenberg,SOLO,,MEN,FINISHED,Belgium,,12d 6h 33m,17673,
North Cape 4000 2017,2017,5,Kurt Verheyden,SOLO,,MEN,FINISHED,Belgium,,12d 8h 55m,17815,
North Cape 4000 2017,2017,6,Dario Valsesia,SOLO,,MEN,FINISHED,Italy,,12d 16h 10m,18250,
North Cape 4000 2017,2017,7,Manlio Pasqualin,SOLO,,MEN,FINISHED,Italy,,12d 16h 10m,18250,
North Cape 4000 2017,2017,8,Dieter Schietse,SOLO,,MEN,FINISHED,Belgium,,12d 16h 46m,18286,
North Cape 4000 2017,2017,9,Morten Kjærsgaard,SOLO,,MEN,FINISHED,Denmark,,12d 17h 12m,18312,
North Cape 4000 2017,2017,10,Michela Ton,SOLO,,MEN,FINISHED,Italy,,13d 3h 36m,18936,
North Cape 4000 2017,2017,11,Stefano Gamper,SOLO,,MEN,FINISHED,Italy,,13d 3h 36m,18936,
North Cape 4000 2017,2017,12,Artur Hajduk,SOLO,,MEN,FINISHED,Germany,,13d 4h 29m,18989,
North Cape 4000 2017,2017,13,Antti Sintonen,SOLO,,MEN,FINISHED,Finland,,13d 5h 36m,19056,
North Cape 4000 2017,2017,14,Michal Laifert,SOLO,,MEN,FINISHED,Czech Republic,,13d 14h 22m,19582,
North Cape 4000 2017,2017,15,Daniel Licastro,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,13d 19h 35m,19895,
North Cape 4000 2017,2017,16,Pascal Viout,SOLO,,MEN,FINISHED,France,,13d 19h 35m,19895,
North Cape 4000 2017,2017,17,Michiel Verhaeghe,SOLO,,MEN,FINISHED,Belgium,,13d 19h 35m,19895,
North Cape 4000 2017,2017,18,Torbjorn Svantesson,SOLO,,MEN,FINISHED,Sweden,,14d 14h 50m,21050,
North Cape 4000 2017,2017,19,Qno Lundkvist,SOLO,,MEN,FINISHED,Norway,,14d 14h 50m,21050,
North Cape 4000 2017,2017,20,Florian Sickel,SOLO,,MEN,FINISHED,Germany,,14d 22h 12m,21492,
North Cape 4000 2017,2017,21,Stephen Butcher,SOLO,,MEN,FINISHED,UK,,15d 3h 33m,21813,
North Cape 4000 2017,2017,22,Andrea Collino,SOLO,,MEN,FINISHED,Italy,,15d 9h 13m,22153,
North Cape 4000 2017,2017,23,Mattia Biffi,SOLO,,MEN,FINISHED,Italy,,15d 9h 13m,22153,
North Cape 4000 2017,2017,24,Javier Barca Cantorna,SOLO,,MEN,FINISHED,Spain,,15d 9h 13m,22153,
North Cape 4000 2017,2017,25,Jan Kosta Kostolasky,SOLO,,MEN,FINISHED,Slovakia,,15d 10h 42m,22242,
North Cape 4000 2017,2017,26,John Bell,SOLO,,MEN,FINISHED,Germany,,15d 10h 42m,22242,
North Cape 4000 2017,2017,27,Renato Ghiraldo,SOLO,,MEN,FINISHED,Italy,,16d 1h 45m,23145,
North Cape 4000 2017,2017,28,Gyanendra Sharma,SOLO,,MEN,FINISHED,India,,16d 2h 4m,23164,
North Cape 4000 2017,2017,29,Simone Parri,SOLO,,MEN,FINISHED,Italy,,16d 8h 1m,23521,
HOPE 1000 2017,2017,22,Eric de Boor,SOLO,,MEN,FINISHED,Switzerland,,16d 12h 45m,23805,
North Cape 4000 2017,2017,30,André Cedric,SOLO,,MEN,FINISHED,France,,17d 1h 54m,24594,
Iditarod Trail Invitational (1000) 2017,2017,1,Jay Cable,SOLO,,MEN,FINISHED,USA,,17d 3h 37m,24697,
North Cape 4000 2017,2017,31,Charles Billau,SOLO,,MEN,FINISHED,France,,17d 9h 45m,25065,
North Cape 4000 2017,2017,32,Giampiero Monti,SOLO,,MEN,FINISHED,Italy,,17d 10h 40m,25120,
North Cape 4000 2017,2017,33,Alberto Padovani,SOLO,,MEN,FINISHED,Italy,,17d 10h 40m,25120,
Iditarod Trail Invitational (1000) 2017,2017,2,RJ Sauer,SOLO,,MEN,FINISHED,CANADA,,17d 19h 51m,25671,
Iditarod Trail Invitational (1000) 2017,2017,3,Tim Hewitt,SOLO,,MEN,FINISHED,,TRADITIONAL_GEARED,18d 3h 44m,26144,
North Cape 4000 2017,2017,34,Stino De Gallier,SOLO,,MEN,FINISHED,Belgium,,19d 12h 13m,28093,
Iditarod Trail Invitational (1000) 2017,2017,4,Martijn Boonman,SOLO,,MEN,FINISHED,Netherlands,,19d 23h 31m,28771,
Iditarod Trail Invitational (1000) 2017,2017,5,Troy Szczurkowski,SOLO,,MEN,FINISHED,Australia,,20d 4h 8m,29048,
Iditarod Trail Invitational (1000) 2017,2017,6,Petr Ineman,SOLO,,MEN,FINISHED,Czech Republic,,20d 4h 8m,29048,
North Cape 4000 2017,2017,35,Ponomale Tony,SOLO,,MEN,FINISHED,France,,20d 12h 17m,29537,
North Cape 4000 2017,2017,36,Mzari Sami,SOLO,,MEN,FINISHED,France,,20d 13h 23m,29603,
North Cape 4000 2017,2017,37,Pierluigi Talamona,SOLO,,MEN,FINISHED,Italy,,22d 11h 8m,32348,
North Cape 4000 2017,2017,38,Franco Morgani,SOLO,,MEN,FINISHED,Italy,,24d 4h 15m,34815,
North Cape 4000 2017,2017,39,Alberto Varni,SOLO,,MEN,FINISHED,Italy,,24d 4h 28m,34828,
North Cape 4000 2017,2017,40,Maurizio Pitti,SOLO,,MEN,FINISHED,Italy,,24d 5h 23m,34883,
